id,article,link,alias,feedbackSelection,feedbackInput
42,https://en.wikipedia.org/wiki/Nicky_Shaw,https://cricketarchive.com/Archive/Players/10/10137/Womens_ListA_Matches.html,https://cricketarchive.com/Archive/Players/10/10137/10137.html,Correct,
43,"https://en.wikipedia.org/wiki/Thomas_Hearne_(cricketer,_born_1887)",https://cricketarchive.com/Archive/Players/30/30121/30121.htm,https://cricketarchive.com/Archive/Players/30/30121/30121.html,Correct,
44,"https://en.wikipedia.org/wiki/Neil_Martin_(cricketer,_born_1979)",https://cricketarchive.com/Archive/Players/7/7003/Youth_Test_Matches.html,https://cricketarchive.com/Archive/Players/7/7003/7003.html,Correct,
45,https://en.wikipedia.org/wiki/Digby_Owen,https://cricketarchive.com/Archive/Players/915/915813/Other_matches.html,https://cricketarchive.com/Archive/Players/915/915813/915813.html,Correct,
46,https://en.wikipedia.org/wiki/James_William_Webb-Jones,https://cricketarchive.com/Archive/Players/1036/1036115/1063115.html,https://cricketarchive.com/Archive/Players/1036/1036115/1036115.html,Correct,
47,https://en.wikipedia.org/wiki/Alfred_Inglis,https://cricketarchive.com/Archive/Players/30/30532/Other_matches.html,https://cricketarchive.com/Archive/Players/30/30532/30532.html,Correct,
48,https://en.wikipedia.org/wiki/List_of_Somerset_County_Cricket_Club_List_A_players,https://cricketarchive.com/Archive/Players/4/4492/a_Bowling_by_Team.html,https://cricketarchive.com/Archive/Players/4/4492/4492.html,Correct,
49,https://en.wikipedia.org/wiki/Andrew_Bryan_(cricketer),https://cricketarchive.com/Archive/Players/35/35594,https://cricketarchive.com/Archive/Players/35/35594/35594.html,Correct,
50,https://en.wikipedia.org/wiki/Charles_Grove,https://cricketarchive.com/Archive/Players/29/29833/Other_matches.html,https://cricketarchive.com/Archive/Players/29/29833/29833.html,Correct,
51,https://en.wikipedia.org/wiki/Martin_Pedersen_(cricketer),https://cricketarchive.com/Archive/Players/86/86956/tt_Bowling_by_Team.html,https://cricketarchive.com/Archive/Players/86/86956/86956.html,Correct,
52,https://en.wikipedia.org/wiki/Michael_Dixon_(umpire),https://cricketarchive.com/Archive/Players/9/9576/Umpire_in_Liverpool_and_District_Premier_League_Matches.html,https://cricketarchive.com/Archive/Players/9/9576/9576.html,Correct,
53,https://en.wikipedia.org/wiki/Jem_Shaw,https://cricketarchive.com/Archive/Players/32/32707/32707.htm;,https://cricketarchive.com/Archive/Players/32/32707/32707.html,Correct,
54,https://en.wikipedia.org/wiki/Safyaan_Sharif,https://cricketarchive.com/Archive/Players/130/130525/a_Matches.html,https://cricketarchive.com/Archive/Players/130/130525/130525.html,Correct,
55,https://en.wikipedia.org/wiki/Alex_Jones_(cricketer),https://cricketarchive.com/Archive/Players/90/90401/Other_matches.html,https://cricketarchive.com/Archive/Players/90/90401/90401.html,Correct,
56,https://en.wikipedia.org/wiki/Roland_Pope,https://cricketarchive.com/Archive/Players/0/86/Other_matches.html,https://cricketarchive.com/Archive/Players/0/86/86.html,Correct,
57,https://en.wikipedia.org/wiki/Charles_King-Turner,https://cricketarchive.com/Archive/Players/30/30798/Other_matches.html,https://cricketarchive.com/Archive/Players/30/30798/30798.html,Correct,
58,https://en.wikipedia.org/wiki/Abali_Hoilett,https://cricketarchive.com/Archive/Players/89/89170/Other_matches.html,https://cricketarchive.com/Archive/Players/89/89170/89170.html,Correct,
59,https://en.wikipedia.org/wiki/Manny_Martindale,https://cricketarchive.com/Archive/Players/0/614/Other_matches.html,https://cricketarchive.com/Archive/Players/0/614/614.html,Correct,
60,https://en.wikipedia.org/wiki/Dicky_Richards,https://cricketarchive.com/Archive/Players/0/133/Other_matches.html,https://cricketarchive.com/Archive/Players/0/133/133.html,Correct,
61,https://en.wikipedia.org/wiki/George_Maximilian_Bethune,https://cricketarchive.com/Archive/Players/104/104963/,https://cricketarchive.com/Archive/Players/104/104963/104963.html,Correct,
62,https://en.wikipedia.org/wiki/Charles_Cater,https://cricketarchive.com/Archive/Players/28/28469/28469.html.html,https://cricketarchive.com/Archive/Players/28/28469/28469.html,Correct,
63,https://en.wikipedia.org/wiki/Samuel_Morcom,https://cricketarchive.com/Archive/Players/16/16453/Other_matches.html,https://cricketarchive.com/Archive/Players/16/16453/16453.html,Correct,
64,https://en.wikipedia.org/wiki/Steven_Croft_(cricketer),https://cricketarchive.com/Archive/Players/45/45409/a_Batting_by_Team.htmlListA,https://cricketarchive.com/Archive/Players/45/45409/45409.html,Correct,
65,https://en.wikipedia.org/wiki/Leo_Bennett,https://cricketarchive.com/Archive/Players/27/27824/Other_matches.html,https://cricketarchive.com/Archive/Players/27/27824/27824.html,Correct,
66,https://en.wikipedia.org/wiki/Rohit_Kanaiya,https://cricketarchive.com/Archive/Players/125/125840/Other_matches.html,https://cricketarchive.com/Archive/Players/125/125840/125840.html,Correct,
67,https://en.wikipedia.org/wiki/Arthur_Jepson,https://cricketarchive.com/Archive/Players/30/30620/Umpire_in_One-Day_International_Matches.html,https://cricketarchive.com/Archive/Players/30/30620/30620.html,Correct,
68,https://en.wikipedia.org/wiki/Tarqeq,http://cfa-www.harvard.edu/iauc/08800/08836.html,http://www.cbat.eps.harvard.edu/iauc/08800/08836.html,Correct,
69,https://en.wikipedia.org/wiki/Eirene_(moon),http://cfa-www.harvard.edu/iauc/08000/08087.html,http://cbat.eps.harvard.edu/iauc/08000/08087.html,Correct,
70,https://en.wikipedia.org/wiki/Daphnis_(moon),http://cfa-www.harvard.edu/iauc/08500/08524.html,http://cbat.eps.harvard.edu/iauc/08500/08524.html,Correct,
71,https://en.wikipedia.org/wiki/S/2003_J_10,http://cfa-www.harvard.edu/iauc/08000/08089.html,http://cbat.eps.harvard.edu/iauc/08000/08089.html,Correct,
72,https://en.wikipedia.org/wiki/Aegir_(moon),http://cfa-www.harvard.edu/iauc/08800/08826.html,http://cbat.eps.harvard.edu/iauc/08800/08826.html,Correct,
73,https://en.wikipedia.org/wiki/Suttungr_(moon),http://cfa-www.harvard.edu/iauc/07500/07548.html,http://cbat.eps.harvard.edu/iauc/07500/07548.html,Correct,
74,https://en.wikipedia.org/wiki/Aegir_(moon),http://cfa-www.harvard.edu/iauc/08500/08523.html,http://cbat.eps.harvard.edu/iauc/08500/08523.html,Correct,
